Class,Label,Latitude,Longitude,B02,B03,B04,B08,NDVI,EVI,SAVI,NDWI
Agricultural Areas,2,4951195.0,697395.0,983,1358,1757,3314,0.3070400315519561,0.6002775850104094,0.4605146406388642,-0.4186643835616349
Agricultural Areas,2,4951195.0,697405.0,918,1242,1422,2839,0.3325510443557772,0.7895030086917763,0.49876803942273845,-0.39132565547658926
Urban Areas,1,4951195.0,697415.0,936,1202,1422,2839,0.3325510443557772,0.8139935661764706,0.49876803942273845,-0.4050977480821479
Urban Areas,1,4951195.0,697425.0,1087,1402,1553,2890,0.30092279990996396,0.8239861949956859,0.4513334083492742,-0.3466915191053041
Forests and semi-natural areas,3,4951195.0,697435.0,961,1311,1553,2890,0.30092279990996396,0.6682995101469559,0.4513334083492742,-0.37586288978813676
Forests and semi-natural areas,3,4951195.0,697445.0,636,695,1124,3474,0.5110917790343517,1.0781794824738484,0.766554311188431,-0.6665867114415767
Forests and semi-natural areas,3,4951195.0,697455.0,424,311,1124,3474,0.5110917790343517,0.8346356016479614,0.766554311188431,-0.8356671070012989
Forests and semi-natural areas,3,4951195.0,697465.0,437,272,806,3827,0.6520612993740416,1.402116402116402,0.9779864033667853,-0.8672847035862193
Forests and semi-natural areas,3,4951195.0,697475.0,454,271,806,3827,0.6520612993740416,1.4361095265259556,0.9779864033667853,-0.8677403611517601
Forests and semi-natural areas,3,4951195.0,697485.0,437,278,710,3761,0.6823976738984414,1.607650964274423,1.0234820530023483,-0.8623421639019345
Forests and semi-natural areas,3,4951195.0,697495.0,469,260,710,3761,0.6823976738984414,1.6933066933066934,1.0234820530023483,-0.8706789355881405
Forests and semi-natural areas,3,4951195.0,697505.0,433,260,579,3428,0.7110057399550609,1.9484338667760908,1.0663755458515285,-0.8590021691973737
Forests and semi-natural areas,3,4951195.0,697515.0,366,255,579,3428,0.7110057399550609,1.712962962962963,1.0663755458515285,-0.8615259299483882
Forests and semi-natural areas,3,4951195.0,697525.0,370,232,597,3324,0.6954858454475722,1.6499273959341723,1.043095754175698,-0.8695163104611678
Forests and semi-natural areas,3,4951195.0,697535.0,429,270,597,3324,0.6954858454475722,1.8478113565523784,1.043095754175698,-0.849749582637706
Forests and semi-natural areas,3,4951195.0,697545.0,488,384,762,3018,0.596825396825381,1.4347494276265582,0.8951196931622801,-0.7742504409170848
Urban Areas,1,4951195.0,697555.0,604,608,762,3018,0.596825396825381,1.8425351192420778,0.8951196931622801,-0.6646442360727892
Urban Areas,1,4951195.0,697565.0,694,783,934,2155,0.3952735513110911,1.1947162426614482,0.592814371257485,-0.4669843430905219
Urban Areas,1,4951195.0,697575.0,839,955,934,2155,0.3952735513110911,2.0800681431005112,0.592814371257485,-0.38585209003214194
Urban Areas,1,4951195.0,697585.0,852,946,930,1669,0.284340130819535,2.1482558139534884,0.42642815926139643,-0.27648183556404293
Urban Areas,1,4951195.0,697595.0,835,893,930,1669,0.284340130819535,1.870886075949367,0.42642815926139643,-0.30288836846212713
Urban Areas,1,4951195.0,697605.0,637,667,708,1911,0.45933562428406033,2.175406871609403,0.6888719221225424,-0.4825446082234103
Urban Areas,1,4951195.0,697615.0,523,445,708,1911,0.45933562428406033,1.3441340782122906,0.6888719221225424,-0.62224108658741
Urban Areas,1,4951195.0,697625.0,437,377,610,2808,0.6430661205383077,1.7217609274635752,0.9644580956559895,-0.763265306122425
Forests and semi-natural areas,3,4951195.0,697635.0,391,275,610,2808,0.6430661205383077,1.553796126113389,0.9644580956559895,-0.8216023353875828
Forests and semi-natural areas,3,4951195.0,697645.0,502,518,1055,3058,0.4869924629224292,0.8903805120910384,0.7303999027592075,-0.7102908277404723
Agricultural Areas,2,4951185.0,697335.0,1113,1537,1774,3235,0.29167498502694567,0.6601897876186172,0.43746880926240145,-0.35582564962279223
Agricultural Areas,2,4951185.0,697345.0,1032,1372,1594,3094,0.3199658703071604,0.7623500711526733,0.47989762184067397,-0.3855799373040666
Agricultural Areas,2,4951185.0,697355.0,879,1291,1594,3094,0.3199658703071604,0.6181488502431386,0.47989762184067397,-0.4111744583808344
Agricultural Areas,2,4951185.0,697365.0,758,1117,1536,2836,0.29734675205854766,0.5103643216080402,0.44596912521440824,-0.4348596003035559
Agricultural Areas,2,4951185.0,697375.0,862,1223,1536,2836,0.29734675205854766,0.5816034359341445,0.44596912521440824,-0.3973885193397291
Agricultural Areas,2,4951185.0,697385.0,933,1378,1757,3314,0.3070400315519561,0.5674611852175815,0.4605146406388642,-0.4126172208013552
Agricultural Areas,2,4951185.0,697395.0,942,1291,1757,3314,0.3070400315519561,0.5731007067137809,0.4605146406388642,-0.4393051031487418
Agricultural Areas,2,4951185.0,697405.0,770,944,1422,2839,0.3325510443557772,0.6329283544756119,0.49876803942273845,-0.5009251916468279
Urban Areas,1,4951185.0,697415.0,892,1047,1422,2839,0.3325510443557772,0.7566211020931226,0.49876803942273845,-0.46114256304682294
Urban Areas,1,4951185.0,697425.0,1033,1443,1553,2890,0.30092279990996396,0.7491874929956293,0.4513334083492742,-0.33394876528962997
Agricultural Areas,2,4951185.0,697435.0,948,1406,1553,2890,0.30092279990996396,0.6555206903314376,0.4513334083492742,-0.345437616387329
Agricultural Areas,2,4951185.0,697445.0,821,1100,1124,3474,0.5110917790343517,1.4465099101317247,0.766554311188431,-0.5190205509400848
Agricultural Areas,2,4951185.0,697455.0,607,645,1124,3474,0.5110917790343517,1.0367951998588194,0.766554311188431,-0.6868171886380022
Forests and semi-natural areas,3,4951185.0,697465.0,540,442,806,3827,0.6520612993740416,1.6368660598179454,0.9779864033667853,-0.7929257437338769
Forests and semi-natural areas,3,4951185.0,697475.0,491,320,806,3827,0.6520612993740416,1.5161096055405,0.9779864033667853,-0.8456715698094804
Forests and semi-natural areas,3,4951185.0,697485.0,469,283,710,3761,0.6823976738984414,1.6933066933066934,1.0234820530023483,-0.860039564787318
Forests and semi-natural areas,3,4951185.0,697495.0,449,274,710,3761,0.6823976738984414,1.6387367064131486,1.0234820530023483,-0.8641883519206724
Forests and semi-natural areas,3,4951185.0,697505.0,384,243,579,3428,0.7110057399550609,1.7704449415858812,1.0663755458515285,-0.8676110051756778
Forests and semi-natural areas,3,4951185.0,697515.0,377,244,579,3428,0.7110057399550609,1.747638326585695,1.0663755458515285,-0.8671023965141376
Forests and semi-natural areas,3,4951185.0,697525.0,401,252,597,3324,0.6954858454475722,1.748301064239005,1.043095754175698,-0.8590604026845398
Forests and semi-natural areas,3,4951185.0,697535.0,442,254,597,3324,0.6954858454475722,1.897967706013363,1.043095754175698,-0.8580212409166893
Forests and semi-natural areas,3,4951185.0,697545.0,388,265,762,3018,0.596825396825381,1.204870754112369,0.8951196931622801,-0.8385622905878514
Forests and semi-natural areas,3,4951185.0,697555.0,445,346,762,3018,0.596825396825381,1.3259668508287292,0.8951196931622801,-0.7942925089179312
Urban Areas,1,4951185.0,697565.0,554,553,934,2155,0.3952735513110911,0.8467406380027739,0.592814371257485,-0.5915805022156354
